"par_pctile","par_mean","k_mean","k_rank","k_top1pc","k_top5pc","k_top10pc","k_q5","k_q4","k_q3","k_q2","k_q1","k_nowork","married","k_median","k_median_nozero","count","tot_count","density"
10,16193.3333333333,40640,0.512956775583419,0.0174376489973333,0.0678054713666667,0.119980886133333,0.221787469466667,0.1821231198,0.207311983466667,0.210916838133333,0.177860592666667,0.1639883398,0.378515022666667,31526.6666666667,37733.3333333333,7171.53333333333,717157.2,0.00762997178
11,17093.3333333333,39646.6666666667,0.517021459603241,0.0204713403833333,0.07462268338,0.1293613062,0.223902520533333,0.186086941,0.202656615666667,0.2136732668,0.173680665466667,0.1576758206,0.363441926666667,31920,37513.3333333333,7171.6,717157.2,0.00749279559333333
12,17986.6666666667,40140,0.51912620793553,0.01780120225,0.06934160158,0.1286449848,0.223746072266667,0.1937125516,0.200882717533333,0.207764063333333,0.173894604666667,0.158571800666667,0.386338172666667,31700,37040,7171.6,717157.2,0.00728494804
13,18873.3333333333,40386.6666666667,0.522196483638803,0.0177853451913333,0.0774208676533333,0.133501170066667,0.226183453066667,0.190622260466667,0.2076218706,0.2022916266,0.173280793333333,0.157442526666667,0.378813849333333,32180,38260,7171.53333333333,717157.2,0.0075693784
14,19746.6666666667,39700,0.519461728362667,0.0188990056893333,0.0776793772866667,0.125159447933333,0.219097461266667,0.192539195066667,0.211006351333333,0.205565422066667,0.171791568266667,0.156631770933333,0.371711816666667,31653.3333333333,37280,7171.6,717157.2,0.00748645652666667
15,20626.6666666667,40473.3333333333,0.519222517187624,0.0205887617893333,0.07284925672,0.1237603196,0.222931917733333,0.1922233234,0.208484199133333,0.205807032333333,0.170553526,0.154195546266667,0.383582982666667,31106.6666666667,36806.6666666667,7171.53333333333,717157.2,0.00771238155333333
16,21513.3333333333,40880,0.521053476206543,0.0193123170426667,0.0681803728,0.129317951466667,0.2247966008,0.1976754134,0.200278616666667,0.200484576,0.1767647982,0.160140490333333,0.36896656,31913.3333333333,37893.3333333333,7171.6,717157.2,0.00783452907333333
17,22400,39380,0.521046012808362,0.0153630793066667,0.07026755546,0.124698770066667,0.224895554133333,0.191306928,0.203598212,0.211684483,0.168514824266667,0.152028294733333,0.374611972666667,31753.3333333333,37113.3333333333,7171.53333333333,717157.2,0.00788146782
18,23300,41840,0.524508969381429,0.022303399158,0.0706042575266667,0.1341090622,0.230742299,0.186701254,0.210582724733333,0.203912561866667,0.1680611596,0.151979472533333,0.382281815333333,32386.6666666667,37733.3333333333,7171.6,717157.2,0.00793906841333333
19,24180,40066.6666666667,0.524046801628047,0.0185665363866667,0.06784067884,0.126744830266667,0.226349140866667,0.19652108,0.2036442172,0.2079040272,0.165581537133333,0.151441243066667,0.389124434666667,32426.6666666667,37766.6666666667,7171.6,717157.2,0.00791912156
20,25086.6666666667,39480,0.524245221043627,0.0171467630666667,0.06777859144,0.122011513266667,0.2257355638,0.199560928666667,0.202910073466667,0.203281344,0.168512094,0.1558188286,0.395343934,32420,38093.3333333333,7171.53333333333,717157.2,0.00797474633333333
21,26000,43793.3333333333,0.530354897663757,0.0179368138573333,0.0726629534866667,0.131085677733333,0.235733520533333,0.194548429333333,0.2118377894,0.194297904466667,0.163582364066667,0.149867793066667,0.395250688,33246.6666666667,38913.3333333333,7171.6,717157.2,0.00806885238
22,26906.6666666667,42546.6666666667,0.533419125222848,0.0193821673146667,0.0773797630466667,0.1345300636,0.235352270266667,0.200689951,0.204068392666667,0.198251684733333,0.161637706,0.145882558466667,0.397650834,33753.3333333333,38793.3333333333,7171.53333333333,717157.2,0.00814818817333333
23,27840,40206.6666666667,0.528743504437662,0.0167374570826667,0.0733029621733333,0.1313986495,0.235451097533333,0.198476304,0.197468592066667,0.200924276333333,0.167679731133333,0.149913984066667,0.396593775333333,33146.6666666667,39020,7171.6,717157.2,0.00807712100666667
24,28800,42920,0.53390001956995,0.019428528558,0.0734240219333333,0.128603694933333,0.234273486933333,0.202731825333333,0.210325931333333,0.1880567254,0.164612034066667,0.149535287666667,0.399989665333333,33033.3333333333,38513.3333333333,7171.46666666667,717157.2,0.00821420225333333
25,29753.3333333333,46053.3333333333,0.53285405092991,0.0189381777193333,0.0736710716066667,0.128087150133333,0.236531018866667,0.199835605333333,0.2018284144,0.198324143733333,0.1634808236,0.145320808466667,0.410531056,33226.6666666667,38233.3333333333,7171.66666666667,717157.2,0.00819559756
26,30713.3333333333,43040,0.53321381304547,0.022386850642,0.0779445774466667,0.134251288933333,0.239456696733333,0.199364267333333,0.203672126133333,0.1921444602,0.1653624482,0.150686602866667,0.405147202,33753.3333333333,39660,7171.6,717157.2,0.00839559943333333
27,31680,43573.3333333333,0.53232541580869,0.021867250708,0.07814213928,0.135815414,0.239795951733333,0.197730511333333,0.200024136866667,0.1915612536,0.170888154266667,0.154354432666667,0.404862842,33446.6666666667,39306.6666666667,7171.53333333333,717157.2,0.00826909156
28,32700,43793.3333333333,0.536520212768115,0.0247053040493333,0.0764503819666667,0.1370726798,0.243122475733333,0.198782840266667,0.2071761764,0.1891213912,0.161797126066667,0.147313060333333,0.412024294666667,34186.6666666667,39586.6666666667,7171.6,717157.2,0.00847605233333333
29,33720,43060,0.542331221116335,0.0202362916873333,0.0782538609266667,0.1386436648,0.248320137866667,0.20542452,0.1999196376,0.1912443416,0.155091362933333,0.141370421666667,0.41270651,34500,39700,7171.53333333333,717157.2,0.00843378905333333
30,34773.3333333333,42766.6666666667,0.535467704871047,0.0168833944093333,0.0771124365466667,0.133709718333333,0.239918680933333,0.201957808666667,0.205581892,0.188309115933333,0.164232504066667,0.149985025466667,0.422119172666667,33673.3333333333,39353.3333333333,7171.6,717157.2,0.008547913
31,35800,43273.3333333333,0.542055284365414,0.018524906584,0.0785853812066667,0.134690538333333,0.249541763333333,0.207303211333333,0.193470089466667,0.1912375002,0.158447443133333,0.1440753638,0.423684574,34186.6666666667,39653.3333333333,7171.6,717157.2,0.00847263784
32,36906.6666666667,43680,0.544198952524708,0.021387556158,0.0830803060466667,0.1467521586,0.254287478,0.201636246733333,0.200026489733333,0.1825870072,0.161462771866667,0.147202643733333,0.433461398666667,35986.6666666667,41413.3333333333,7171.53333333333,717157.2,0.00846076511333333
33,38000,43186.6666666667,0.534548513225299,0.0169649600433333,0.0663992049666667,0.124738965866667,0.2404412852,0.203091256,0.1981394958,0.199318353,0.159009618,0.146108356,0.42524343,32666.6666666667,38006.6666666667,7171.6,717157.2,0.00870409895333333
34,39133.3333333333,42786.6666666667,0.54937171952216,0.0180252089013333,0.07836349186,0.140192373,0.249752571866667,0.217658705333333,0.1983510744,0.181867128266667,0.152370522933333,0.138755917866667,0.436478534666667,35526.6666666667,40666.6666666667,7171.53333333333,717157.2,0.00874127613333333
35,40293.3333333333,44166.6666666667,0.542723305833675,0.0205664212106667,0.07807426046,0.1380463132,0.2451556276,0.207499172666667,0.208009414666667,0.1790723022,0.1602634874,0.145690097933333,0.441598358,34793.3333333333,39853.3333333333,7171.6,717157.2,0.00870234100666667
36,41460,44666.6666666667,0.553418098288949,0.0197916362873333,0.0807509453133333,0.144784203533333,0.258598496933333,0.212499084666667,0.200642543533333,0.181446174,0.146813702866667,0.132843742333333,0.446485019333333,35866.6666666667,40560,7171.53333333333,717157.2,0.00869998445333333
37,42673.3333333333,41886.6666666667,0.545873885827248,0.0174982375146667,0.0708754217466667,0.128062933866667,0.252330922133333,0.212052319333333,0.201118783133333,0.1754710752,0.159026898466667,0.143791745066667,0.453165422,34966.6666666667,40466.6666666667,7171.6,717157.2,0.00879426255333333
38,43893.3333333333,42906.6666666667,0.549208766169651,0.0222646466393333,0.07679965352,0.1370126786,0.251187417733333,0.216920941333333,0.2027934916,0.171990678266667,0.157107471533333,0.1442505164,0.455827263333333,35233.3333333333,40720,7171.6,717157.2,0.00880522812666667
39,45120,42120,0.546358606732928,0.017009575716,0.0717184885666667,0.1350743538,0.249292393533333,0.212155012,0.202003166,0.182241766066667,0.1543076586,0.140677263133333,0.448913341333333,34373.3333333333,39640,7171.53333333333,717157.2,0.00891944174
40,46380,43206.6666666667,0.550769075288261,0.0201651833166667,0.0789233454,0.1427333848,0.259168468,0.214755106666667,0.191412012133333,0.176528463266667,0.158135957666667,0.143940153,0.466076957333333,35740,41126.6666666667,7171.6,717157.2,0.00878351840666667
41,47686.6666666667,46973.3333333333,0.550147586275064,0.0226522090053333,0.0799133823733333,0.140805913133333,0.256622503666667,0.216286962,0.195454449,0.171442474733333,0.160193607333333,0.146600358533333,0.458396064666667,35606.6666666667,41693.3333333333,7171.53333333333,717157.2,0.00898834508
42,48980,42980,0.549650680701916,0.018774759582,0.0750384494533333,0.138362484266667,0.256522463266667,0.215070774,0.198697937333333,0.170684906733333,0.159023918333333,0.145647798266667,0.464555288,35260,40713.3333333333,7171.6,717157.2,0.00894408702666667
43,50293.3333333333,44526.6666666667,0.552513761764739,0.0187361786666667,0.0746082836266667,0.141817479733333,0.2556857562,0.217515730666667,0.195437315333333,0.180824607533333,0.1505365898,0.1367466694,0.465646387333333,35386.6666666667,40866.6666666667,7171.6,717157.2,0.00920988942666667
44,51606.6666666667,44566.6666666667,0.552359165237717,0.0186859925093333,0.07832016268,0.1447828786,0.264329858466667,0.214158631333333,0.186699126733333,0.177394552866667,0.157417837533333,0.1425407192,0.473499663333333,35213.3333333333,40633.3333333333,7171.53333333333,717157.2,0.00890215238
45,52953.3333333333,45520,0.554827605393274,0.0234452610313333,0.0837712818333333,0.146960082933333,0.262100603666667,0.212336872,0.200086324466667,0.168435988466667,0.157040209466667,0.1398227786,0.470716988666667,36073.3333333333,41493.3333333333,7171.6,717157.2,0.00908934074666667
46,54293.3333333333,44133.3333333333,0.55464189118822,0.0233288457193333,0.0795172620866667,0.147333128666667,0.265890579466667,0.212433116666667,0.196017632333333,0.168608489533333,0.157050189533333,0.1445476752,0.479651058666667,35980,41600,7171.53333333333,717157.2,0.00905237814
